genome,sortase_present,sortase_count,lpxtg_present,lpxtg_count,bacteriocin_present,bacteriocin_count,crispr_cas_present,crispr_cas_count,stress_universal_present,stress_universal_count,clp_protease_present,clp_protease_count,phage_resistance_present,phage_resistance_count,amr_present,amr_count,virulence_present,virulence_count,phage_present,phage_count,total_genes
bin.1,1,1.0,0,0.0,0,0.0,0,0.0,1,2.0,1,1.0,1,5.0,1,30.0,1,17.0,1,29.0,2316
bin.2,1,2.0,1,2.0,1,7.0,1,86.0,1,1.0,1,5.0,1,1.0,1,25.0,1,3.0,1,30.0,1828
bin.3,1,2.0,1,6.0,1,17.0,0,0.0,1,6.0,1,4.0,1,5.0,1,31.0,1,3.0,1,69.0,2521
bin.4,0,0.0,0,0.0,1,3.0,0,0.0,0,0.0,1,2.0,0,0.0,1,5.0,0,0.0,1,5.0,650
GCF_000971665.1_ASM97166v1_genomic,1,1.0,1,1.0,1,7.0,1,89.0,1,1.0,1,5.0,1,2.0,1,27.0,1,4.0,1,96.0,2167
GCF_001008015.1_ASM100801v1_genomic,1,1.0,1,1.0,1,10.0,1,146.0,1,1.0,1,5.0,1,1.0,1,25.0,1,4.0,1,90.0,2201
GCF_001266475.1_ASM126647v1_genomic,1,1.0,1,1.0,1,10.0,1,139.0,1,1.0,1,5.0,1,2.0,1,25.0,1,4.0,1,79.0,2203
GCF_001280285.1_ASM128028v1_genomic,1,1.0,0,0.0,1,9.0,1,126.0,1,1.0,1,5.0,1,2.0,1,24.0,1,5.0,1,92.0,2263
GCF_001306395.1_ASM130639v1_genomic,1,1.0,1,1.0,1,10.0,1,90.0,1,1.0,1,5.0,1,1.0,1,26.0,1,4.0,1,34.0,1966
GCF_001514435.1_ASM151443v1_genomic,0,0.0,0,0.0,1,5.0,1,43.0,1,1.0,1,5.0,1,1.0,1,24.0,1,4.0,1,74.0,2045
GCF_001624895.1_ASM162489v1_genomic,1,1.0,1,1.0,1,8.0,1,104.0,1,1.0,1,5.0,1,1.0,1,24.0,1,4.0,1,38.0,2011
GCF_001624915.1_ASM162491v1_genomic,1,1.0,1,1.0,1,8.0,1,110.0,1,1.0,1,5.0,1,1.0,1,24.0,1,4.0,1,38.0,2016
GCF_001663795.1_ASM166379v1_genomic,1,1.0,1,1.0,1,10.0,1,141.0,1,1.0,1,5.0,1,1.0,1,26.0,1,4.0,1,94.0,2205
GCF_001685375.1_ASM168537v1_genomic,0,0.0,0,0.0,1,5.0,1,80.0,1,1.0,1,5.0,1,2.0,1,24.0,1,4.0,1,76.0,2091
GCF_001705585.1_ASM170558v1_genomic,1,1.0,1,2.0,1,7.0,1,74.0,1,1.0,1,5.0,1,1.0,1,24.0,1,5.0,1,87.0,2204
GCF_001855705.1_ASM185570v1_genomic,1,1.0,1,1.0,1,10.0,1,145.0,1,1.0,1,5.0,1,1.0,1,25.0,1,4.0,1,98.0,2226
GCF_001867185.1_ASM186718v1_genomic,1,1.0,1,2.0,1,10.0,1,64.0,1,1.0,1,5.0,1,1.0,1,25.0,1,4.0,1,51.0,2039
GCF_001867245.1_ASM186724v1_genomic,1,1.0,1,1.0,1,10.0,1,64.0,1,1.0,1,5.0,1,1.0,1,25.0,1,4.0,1,51.0,2042
GCF_002012365.1_ASM201236v1_genomic,1,1.0,1,1.0,1,10.0,1,131.0,1,1.0,1,5.0,1,2.0,1,24.0,1,4.0,1,87.0,2209
GCF_002286255.1_ASM228625v1_genomic,1,1.0,1,2.0,1,11.0,1,106.0,1,1.0,1,5.0,1,2.0,1,25.0,1,4.0,1,101.0,2200
GCF_002443035.1_ASM244303v1_genomic,1,1.0,0,0.0,1,9.0,1,66.0,1,1.0,1,5.0,1,1.0,1,25.0,1,3.0,1,70.0,2121
GCF_002796625.1_ASM279662v1_genomic,1,1.0,1,4.0,1,13.0,1,55.0,1,1.0,1,5.0,1,1.0,1,29.0,1,6.0,1,51.0,2184
GCF_002796635.1_ASM279663v1_genomic,1,1.0,1,4.0,1,11.0,1,138.0,1,1.0,1,5.0,1,3.0,1,31.0,1,5.0,1,45.0,2212
GCF_002796645.1_ASM279664v1_genomic,1,1.0,1,2.0,1,7.0,1,112.0,1,1.0,1,5.0,1,5.0,1,26.0,1,5.0,1,55.0,2146
GCF_002796655.1_ASM279665v1_genomic,1,1.0,1,4.0,1,15.0,1,45.0,1,1.0,1,5.0,1,1.0,1,29.0,1,6.0,1,61.0,2195
GCF_002796705.1_ASM279670v1_genomic,1,1.0,1,4.0,1,11.0,1,99.0,1,2.0,1,5.0,1,4.0,1,29.0,1,5.0,1,55.0,2184
GCF_002843115.1_ASM284311v1_genomic,1,1.0,1,1.0,1,10.0,1,152.0,1,1.0,1,5.0,1,1.0,1,26.0,1,4.0,1,89.0,2197
GCF_002846075.1_ASM284607v1_genomic,1,1.0,1,1.0,1,13.0,1,128.0,1,1.0,1,5.0,1,1.0,1,27.0,1,4.0,1,73.0,2184
GCF_002846155.1_ASM284615v1_genomic,0,0.0,0,0.0,1,6.0,1,37.0,1,1.0,1,5.0,1,1.0,1,24.0,1,4.0,1,77.0,2077
GCF_002914925.1_ASM291492v1_genomic,1,1.0,0,0.0,1,8.0,1,70.0,1,1.0,1,5.0,1,4.0,1,26.0,1,4.0,1,48.0,2034
GCF_003129655.1_ASM312965v1_genomic,1,1.0,1,1.0,1,10.0,1,134.0,1,1.0,1,5.0,1,2.0,1,25.0,1,4.0,1,55.0,2129
GCF_003130445.1_ASM313044v1_genomic,1,1.0,1,1.0,1,10.0,1,143.0,1,1.0,1,5.0,1,1.0,1,26.0,1,4.0,1,65.0,2137
GCF_003402855.1_ASM340285v1_genomic,1,1.0,1,1.0,1,10.0,1,125.0,1,1.0,1,5.0,1,1.0,1,26.0,1,3.0,1,75.0,2137
GCF_003443395.1_ASM344339v1_genomic,1,1.0,1,1.0,1,10.0,1,166.0,1,1.0,1,5.0,1,1.0,1,24.0,1,4.0,1,125.0,2326
GCF_004114735.1_ASM411473v1_genomic,1,1.0,1,1.0,1,8.0,1,88.0,1,1.0,1,5.0,1,1.0,1,24.0,1,4.0,1,67.0,2075
GCF_004354505.1_ASM435450v1_genomic,1,1.0,1,5.0,1,13.0,1,100.0,1,1.0,1,6.0,1,3.0,1,26.0,1,6.0,1,90.0,2430
GCF_005864465.1_ASM586446v1_genomic,1,1.0,1,1.0,1,9.0,1,95.0,1,1.0,1,5.0,1,1.0,1,25.0,1,5.0,1,65.0,2160
GCF_006539425.1_ASM653942v1_genomic,1,1.0,1,1.0,1,7.0,1,105.0,1,1.0,1,5.0,1,1.0,1,26.0,1,3.0,1,22.0,1961
GCF_009709655.1_ASM970965v1_genomic,1,1.0,1,2.0,1,8.0,1,104.0,1,1.0,1,5.0,1,1.0,1,25.0,1,4.0,1,41.0,1995
GCF_009856565.1_ASM985656v1_genomic,1,1.0,1,1.0,1,9.0,1,99.0,1,1.0,1,5.0,1,2.0,1,24.0,1,4.0,1,90.0,2253
GCF_010120595.1_ASM1012059v1_genomic,1,1.0,1,5.0,1,13.0,1,91.0,1,1.0,1,6.0,1,3.0,1,26.0,1,6.0,1,141.0,2478
GCF_010500735.1_ASM1050073v1_genomic,1,1.0,1,1.0,1,10.0,1,47.0,1,1.0,1,5.0,1,2.0,1,25.0,1,5.0,1,71.0,2103
GCF_010692845.1_ASM1069284v1_genomic,1,1.0,1,1.0,1,4.0,1,11.0,1,1.0,1,5.0,1,3.0,1,27.0,1,5.0,1,71.0,2127
GCF_011801285.1_ASM1180128v1_genomic,1,1.0,1,1.0,1,11.0,1,142.0,1,1.0,1,5.0,1,2.0,1,26.0,1,4.0,1,79.0,2199
GCF_013307185.1_ASM1330718v1_genomic,1,1.0,1,1.0,1,10.0,1,146.0,1,1.0,1,5.0,1,1.0,1,25.0,1,4.0,1,92.0,2208
GCF_013307265.1_ASM1330726v1_genomic,1,1.0,1,1.0,1,6.0,1,60.0,1,1.0,1,5.0,1,2.0,1,25.0,1,4.0,1,66.0,2137
