genome,sortase_present,sortase_count,lpxtg_present,lpxtg_count,bacteriocin_present,bacteriocin_count,crispr_cas_present,crispr_cas_count,stress_universal_present,stress_universal_count,clp_protease_present,clp_protease_count,phage_resistance_present,phage_resistance_count,amr_present,amr_count,virulence_present,virulence_count,phage_present,phage_count,total_genes,accession,label,adhesion_module,antimicrobial_module,phage_defense_module,stress_module,amr_module,virulence_module,mobile_elements_module,adhesion_norm,stress_norm,phage_defense_norm,amr_norm,virulence_norm,defense_vs_risk,survival_vs_mobile,adhesion_vs_genome,probiotic_potential
bin.1,1,1.0,0,0.0,0,0.0,0,0.0,1,2.0,1,1.0,1,5.0,1,30.0,1,17.0,1,29.0,2316,bin.1,0,1.0,0.0,5.0,3.0,30.0,17.0,29.0,0.00043159257660768235,0.001294777729823047,0.0021579628830384117,0.01294777729823047,0.0073370738023306,0.10416666666666667,0.1,0.00043159257660768235,-0.07682347863616745
bin.2,1,2.0,1,2.0,1,7.0,1,86.0,1,1.0,1,5.0,1,1.0,1,25.0,1,3.0,1,30.0,1828,bin.2,1,4.0,7.0,87.0,6.0,25.0,3.0,30.0,0.002186987424822307,0.0032804811372334607,0.047566976489885185,0.01366867140513942,0.0016402405686167304,3.2413793103448274,0.1935483870967742,0.002186987424822307,1.4803717878622196
bin.3,1,2.0,1,6.0,1,17.0,0,0.0,1,6.0,1,4.0,1,5.0,1,31.0,1,3.0,1,69.0,2521,bin.3,1,8.0,17.0,5.0,10.0,31.0,3.0,69.0,0.0031720856463124504,0.003965107057890563,0.0019825535289452814,0.012291831879460745,0.0011895321173671688,0.6285714285714286,0.14285714285714285,0.0031720856463124504,3.3551942902458367
bin.4,0,0.0,0,0.0,1,3.0,0,0.0,0,0.0,1,2.0,0,0.0,1,5.0,0,0.0,1,5.0,650,bin.4,1,0.0,3.0,0.0,2.0,5.0,0.0,5.0,0.0,0.0030721966205837174,0.0,0.007680491551459293,0.0,0.5,0.3333333333333333,0.0,0.567741935483871
GCF_000971665.1_ASM97166v1_genomic,1,1.0,1,1.0,1,7.0,1,89.0,1,1.0,1,5.0,1,2.0,1,27.0,1,4.0,1,96.0,2167,GCF_000971665.1,1,2.0,7.0,91.0,6.0,27.0,4.0,96.0,0.0009225092250922509,0.0027675276752767526,0.04197416974169742,0.012453874538745387,0.0018450184501845018,3.0625,0.061855670103092786,0.0009225092250922509,1.4654981549815498
GCF_001008015.1_ASM100801v1_genomic,1,1.0,1,1.0,1,10.0,1,146.0,1,1.0,1,5.0,1,1.0,1,25.0,1,4.0,1,90.0,2201,GCF_001008015.1,1,2.0,10.0,147.0,6.0,25.0,4.0,90.0,0.0009082652134423251,0.0027247956403269754,0.0667574931880109,0.011353315168029064,0.0018165304268846503,5.233333333333333,0.06593406593406594,0.0009082652134423251,2.145322434150772
GCF_001280285.1_ASM128028v1_genomic,1,1.0,0,0.0,1,9.0,1,126.0,1,1.0,1,5.0,1,2.0,1,24.0,1,5.0,1,92.0,2263,GCF_001280285.1,1,1.0,9.0,128.0,6.0,24.0,5.0,92.0,0.00044169611307420494,0.00265017667844523,0.05653710247349823,0.01060070671378092,0.002208480565371025,4.566666666666666,0.06451612903225806,0.00044169611307420494,1.916166077738516
GCF_001514435.1_ASM151443v1_genomic,0,0.0,0,0.0,1,5.0,1,43.0,1,1.0,1,5.0,1,1.0,1,24.0,1,4.0,1,74.0,2045,GCF_001514435.1,1,0.0,5.0,44.0,6.0,24.0,4.0,74.0,0.0,0.002932551319648094,0.021505376344086023,0.011730205278592375,0.0019550342130987292,1.6896551724137931,0.08,0.0,1.0058651026392962
GCF_001663795.1_ASM166379v1_genomic,1,1.0,1,1.0,1,10.0,1,141.0,1,1.0,1,5.0,1,1.0,1,26.0,1,4.0,1,94.0,2205,GCF_001663795.1,1,2.0,10.0,142.0,6.0,26.0,4.0,94.0,0.0009066183136899365,0.0027198549410698096,0.0643699002719855,0.011786038077969175,0.001813236627379873,4.903225806451613,0.06315789473684211,0.0009066183136899365,2.1359927470534905
GCF_001685375.1_ASM168537v1_genomic,0,0.0,0,0.0,1,5.0,1,80.0,1,1.0,1,5.0,1,2.0,1,24.0,1,4.0,1,76.0,2091,GCF_001685375.1,1,0.0,5.0,82.0,6.0,24.0,4.0,76.0,0.0,0.0028680688336520078,0.03919694072657744,0.011472275334608031,0.0019120458891013384,3.0,0.07792207792207792,0.0,1.0602294455066923
GCF_001705585.1_ASM170558v1_genomic,1,1.0,1,2.0,1,7.0,1,74.0,1,1.0,1,5.0,1,1.0,1,24.0,1,5.0,1,87.0,2204,GCF_001705585.1,1,3.0,7.0,75.0,6.0,24.0,5.0,87.0,0.0013605442176870747,0.0027210884353741495,0.034013605442176874,0.010884353741496598,0.0022675736961451248,2.7333333333333334,0.06818181818181818,0.0013605442176870747,1.4489795918367345
GCF_001855705.1_ASM185570v1_genomic,1,1.0,1,1.0,1,10.0,1,145.0,1,1.0,1,5.0,1,1.0,1,25.0,1,4.0,1,98.0,2226,GCF_001855705.1,1,2.0,10.0,146.0,6.0,25.0,4.0,98.0,0.000898069151324652,0.002694207453973956,0.0655590480466996,0.01122586439155815,0.001796138302649304,5.2,0.06060606060606061,0.000898069151324652,2.1423439604849572
GCF_002012365.1_ASM201236v1_genomic,1,1.0,1,1.0,1,10.0,1,131.0,1,1.0,1,5.0,1,2.0,1,24.0,1,4.0,1,87.0,2209,GCF_002012365.1,1,2.0,10.0,133.0,6.0,24.0,4.0,87.0,0.0009049773755656109,0.0027149321266968325,0.060180995475113123,0.01085972850678733,0.0018099547511312218,4.931034482758621,0.06818181818181818,0.0009049773755656109,2.128054298642534
GCF_002286255.1_ASM228625v1_genomic,1,1.0,1,2.0,1,11.0,1,106.0,1,1.0,1,5.0,1,2.0,1,25.0,1,4.0,1,101.0,2200,GCF_002286255.1,1,3.0,11.0,108.0,6.0,25.0,4.0,101.0,0.0013630168105406633,0.0027260336210813267,0.04906860517946388,0.011358473421172195,0.001817355747387551,3.966666666666667,0.058823529411764705,0.0013630168105406633,2.293139482053612
GCF_002443035.1_ASM244303v1_genomic,1,1.0,0,0.0,1,9.0,1,66.0,1,1.0,1,5.0,1,1.0,1,25.0,1,3.0,1,70.0,2121,GCF_002443035.1,1,1.0,9.0,67.0,6.0,25.0,3.0,70.0,0.000471253534401508,0.002827521206409048,0.03157398680490104,0.0117813383600377,0.001413760603204524,2.6206896551724137,0.08450704225352113,0.000471253534401508,1.838171536286522
GCF_002843115.1_ASM284311v1_genomic,1,1.0,1,1.0,1,10.0,1,152.0,1,1.0,1,5.0,1,1.0,1,26.0,1,4.0,1,89.0,2197,GCF_002843115.1,1,2.0,10.0,153.0,6.0,26.0,4.0,89.0,0.0009099181073703367,0.00272975432211101,0.06960873521383075,0.011828935395814377,0.0018198362147406734,5.258064516129032,0.06666666666666667,0.0009099181073703367,2.151501364877161
GCF_002846075.1_ASM284607v1_genomic,1,1.0,1,1.0,1,13.0,1,128.0,1,1.0,1,5.0,1,1.0,1,27.0,1,4.0,1,73.0,2184,GCF_002846075.1,1,2.0,13.0,129.0,6.0,27.0,4.0,73.0,0.0009153318077803204,0.002745995423340961,0.059038901601830666,0.012356979405034324,0.0018306636155606408,4.4375,0.08108108108108109,0.0009153318077803204,2.717162471395881
GCF_002846155.1_ASM284615v1_genomic,0,0.0,0,0.0,1,6.0,1,37.0,1,1.0,1,5.0,1,1.0,1,24.0,1,4.0,1,77.0,2077,GCF_002846155.1,1,0.0,6.0,38.0,6.0,24.0,4.0,77.0,0.0,0.0028873917228103944,0.01828681424446583,0.011549566891241578,0.0019249278152069298,1.5172413793103448,0.07692307692307693,0.0,1.1971126082771895
GCF_900094135.1_ASM90009413v1_genomic,0,0.0,1,1.0,1,8.0,1,12.0,1,1.0,1,5.0,1,1.0,1,25.0,1,3.0,1,52.0,1939,GCF_900094135.1,1,1.0,8.0,13.0,6.0,25.0,3.0,52.0,0.0005154639175257732,0.003092783505154639,0.006701030927835051,0.01288659793814433,0.0015463917525773195,0.7241379310344828,0.11320754716981132,0.0005154639175257732,1.5582474226804124
GCF_000005845.2_ASM584v2_genomic,0,0.0,0,0.0,0,0.0,1,41.0,1,7.0,1,4.0,1,21.0,1,39.0,1,59.0,1,114.0,4753,GCF_000005845.2,1,0.0,0.0,62.0,11.0,39.0,59.0,114.0,0.0,0.0023138409760201937,0.013041649137568364,0.008203618005889778,0.012410601598653766,0.6262626262626263,0.09565217391304348,0.0,-0.03449726546066471
GCF_000006765.1_ASM676v1_genomic,0,0.0,0,0.0,0,0.0,0,0.0,1,2.0,1,7.0,1,7.0,1,63.0,1,23.0,1,40.0,5835,GCF_000006765.1,1,0.0,0.0,7.0,9.0,63.0,23.0,40.0,0.0,0.0015421521590130226,0.001199451679232351,0.010795065113091157,0.0039410555174777245,0.08045977011494253,0.21951219512195122,0.0,-0.05911583276216586
GCF_000006865.1_ASM686v1_genomic,1,3.0,1,6.0,1,11.0,0,0.0,1,6.0,1,5.0,1,4.0,1,30.0,1,5.0,1,188.0,2505,GCF_000006865.1,1,9.0,11.0,4.0,11.0,30.0,5.0,188.0,0.003591380686352753,0.004389465283320032,0.0015961691939345571,0.011971268954509178,0.0019952114924181963,0.4166666666666667,0.0582010582010582,0.003591380686352753,2.154908220271349
GCF_000006965.1_ASM696v1_genomic,0,0.0,0,0.0,1,1.0,0,0.0,1,1.0,1,7.0,1,33.0,1,71.0,1,39.0,1,138.0,6426,GCF_000006965.1,1,0.0,1.0,33.0,8.0,71.0,39.0,138.0,0.0,0.0012447487163528862,0.0051345884549556554,0.011047144857631865,0.006068149992220321,0.3063063063063063,0.05755395683453238,0.0,0.14445308853275246
GCF_000007045.1_ASM704v1_genomic,1,1.0,1,4.0,1,26.0,0,0.0,1,1.0,1,4.0,1,2.0,1,25.0,1,11.0,1,68.0,2133,GCF_000007045.1,0,5.0,26.0,2.0,5.0,25.0,11.0,68.0,0.0023430178069353325,0.0023430178069353325,0.0009372071227741331,0.011715089034676664,0.005154639175257732,0.7567567567567568,0.07246376811594203,0.0023430178069353325,5.138144329896907
GCF_000007625.1_ASM762v1_genomic,1,1.0,1,2.0,1,3.0,1,152.0,0,0.0,1,5.0,1,2.0,1,29.0,1,5.0,1,75.0,3068,GCF_000007625.1,0,3.0,3.0,154.0,5.0,29.0,5.0,75.0,0.0009775171065493646,0.0016291951775822744,0.05017921146953405,0.009449332029977192,0.0016291951775822744,4.485714285714286,0.06578947368421052,0.0009775171065493646,0.7036168132942325
